vendor name,Model Name,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,PRP,ERP,MYCT_discretized,MMIN_discretized,MMAX_discretized,CACH_discretized,CHMIN_discretized,CHMAX_discretized,PRP_discretized,ERP_discretized,MYCT_z_score,MMIN_z_score,MMAX_z_score,CACH_z_score,CHMIN_z_score,CHMAX_z_score,PRP_z_score,ERP_z_score,prediction
amdahl,470v/7,29,8000,32000,32,8,32,269,253,"(16.999, 50.0]","(4000.0, 32000.0]","(16000.0, 64000.0]","(8.0, 32.0]","(6.0, 52.0]","(24.0, 176.0]","(111.5, 1150.0]","(99.5, 1238.0]",-0.6603892562849425,1.6225212733897811,2.048792293781657,0.3200147102169486,0.46347126706337805,0.8605828730119495,1.5842730166189063,1.6650265330822935,32
amdahl,470v/7a,29,8000,32000,32,8,32,220,253,"(16.999, 50.0]","(4000.0, 32000.0]","(16000.0, 64000.0]","(8.0, 32.0]","(6.0, 52.0]","(24.0, 176.0]","(111.5, 1150.0]","(99.5, 1238.0]",-0.6603892562849425,1.6225212733897811,2.048792293781657,0.3200147102169486,0.46347126706337805,0.8605828730119495,1.1429166415886587,1.6650265330822935,32
amdahl,470v/7b,29,8000,32000,32,8,32,172,253,"(16.999, 50.0]","(4000.0, 32000.0]","(16000.0, 64000.0]","(8.0, 32.0]","(6.0, 52.0]","(24.0, 176.0]","(111.5, 1150.0]","(99.5, 1238.0]",-0.6603892562849425,1.6225212733897811,2.048792293781657,0.3200147102169486,0.46347126706337805,0.8605828730119495,0.710567539518212,1.6650265330822935,32
amdahl,470v/7c,29,8000,16000,32,8,16,132,132,"(16.999, 50.0]","(4000.0, 32000.0]","(8000.0, 16000.0]","(8.0, 32.0]","(6.0, 52.0]","(8.0, 24.0]","(111.5, 1150.0]","(99.5, 1238.0]",-0.6603892562849425,1.6225212733897811,0.47070025647526764,0.3200147102169486,0.46347126706337805,0.011535963445200399,0.35027662112617314,0.46252108743180936,32
amdahl,470v/b,26,8000,32000,64,8,32,318,290,"(16.999, 50.0]","(4000.0, 32000.0]","(16000.0, 64000.0]","(32.0, 256.0]","(6.0, 52.0]","(24.0, 176.0]","(111.5, 1150.0]","(99.5, 1238.0]",-0.6711750409799557,1.6225212733897811,2.048792293781657,1.3641665702788355,0.46347126706337805,0.8605828730119495,2.025629391649154,2.03273480985145,32
amdahl,580-5840,23,16000,32000,64,16,32,367,381,"(16.999, 50.0]","(4000.0, 32000.0]","(16000.0, 64000.0]","(32.0, 256.0]","(6.0, 52.0]","(24.0, 176.0]","(111.5, 1150.0]","(99.5, 1238.0]",-0.681960825674969,4.0873411599811496,2.048792293781657,1.3641665702788355,1.6048689572691734,0.8605828730119495,2.4669857666794015,2.9370984094728882,32
amdahl,580-5850,23,16000,32000,64,16,32,489,381,"(16.999, 50.0]","(4000.0, 32000.0]","(16000.0, 64000.0]","(32.0, 256.0]","(6.0, 52.0]","(24.0, 176.0]","(111.5, 1150.0]","(99.5, 1238.0]",-0.681960825674969,4.0873411599811496,2.048792293781657,1.3641665702788355,1.6048689572691734,0.8605828730119495,3.56587306777512,2.9370984094728882,32
amdahl,580-5860,23,16000,64000,64,16,32,636,749,"(16.999, 50.0]","(4000.0, 32000.0]","(16000.0, 64000.0]","(32.0, 256.0]","(6.0, 52.0]","(24.0, 176.0]","(111.5, 1150.0]","(99.5, 1238.0]",-0.681960825674969,4.0873411599811496,5.204976368394436,1.3641665702788355,1.6048689572691734,0.8605828730119495,4.889942192865863,6.594305054095847,32
apollo,dn320,400,1000,3000,0,1,2,38,23,"(225.0, 1500.0]","(768.0, 2000.0]","(63.999, 4000.0]","(-0.001, 8.0]","(-0.001, 1.0]","(-0.001, 5.0]","(27.0, 49.5]","(14.999, 28.0]",0.6734527843316975,-0.5341961273776662,-0.8114995238361736,-0.724137149844938,-0.535251711866693,-0.731380082425705,-0.49640703709511813,-0.6207276198070565,32
apollo,dn420,400,512,3500,4,1,6,40,24,"(225.0, 1500.0]","(63.999, 768.0]","(63.999, 4000.0]","(-0.001, 8.0]","(-0.001, 1.0]","(5.0, 8.0]","(27.0, 49.5]","(14.999, 28.0]",0.6734527843316975,-0.6845501404597397,-0.7621841476703489,-0.5936181673372022,-0.535251711866693,-0.5191183550340177,-0.4783924911755162,-0.6107895582727549,32
basf,7/65,60,2000,8000,65,1,8,92,70,"(50.0, 110.0]","(768.0, 2000.0]","(4000.0, 8000.0]","(32.0, 256.0]","(-0.001, 1.0]","(5.0, 8.0]","(49.5, 111.5]","(45.0, 99.5]",-0.5489361477698055,-0.22609364155374514,-0.318345762177927,1.3967963159057692,-0.535251711866693,-0.4129874913381741,-0.010014297265865692,-0.15363872769488496,32
basf,7/68,50,4000,16000,65,1,8,138,117,"(16.999, 50.0]","(2000.0, 4000.0]","(8000.0, 16000.0]","(32.0, 256.0]","(-0.001, 1.0]","(5.0, 8.0]","(111.5, 1150.0]","(99.5, 1238.0]",-0.5848887634198496,0.390111330094097,0.47070025647526764,1.3967963159057692,-0.535251711866693,-0.4129874913381741,0.40432025888497897,0.3134501644172865,32
bti,8000,200,512,16000,0,4,32,35,64,"(110.0, 225.0]","(63.999, 768.0]","(8000.0, 16000.0]","(-0.001, 8.0]","(2.0, 6.0]","(24.0, 176.0]","(27.0, 49.5]","(45.0, 99.5]",-0.045599528669186554,-0.6845501404597397,0.47070025647526764,-0.724137149844938,-0.10722757803951966,0.8605828730119495,-0.523428855974521,-0.2132670969006941,32
burroughs,b1955,167,524,2000,8,4,15,19,23,"(110.0, 225.0]","(63.999, 768.0]","(63.999, 4000.0]","(-0.001, 8.0]","(2.0, 6.0]","(8.0, 24.0]","(5.999, 27.0]","(14.999, 28.0]",-0.16424316031433242,-0.6808529106298526,-0.9101302761678229,-0.4630991848294664,-0.10722757803951966,-0.04152946840272142,-0.6675452233313366,-0.6207276198070565,32
burroughs,b2900,143,512,5000,0,7,32,28,29,"(110.0, 225.0]","(63.999, 768.0]","(4000.0, 8000.0]","(-0.001, 8.0]","(6.0, 52.0]","(24.0, 176.0]","(27.0, 49.5]","(28.0, 45.0]",-0.25052943787443854,-0.6845501404597397,-0.6142380191728749,-0.724137149844938,0.3207965557876536,0.8605828730119495,-0.5864797666931278,-0.5610992506012473,32
burroughs,b2925,143,1000,2000,0,5,16,31,22,"(110.0, 225.0]","(768.0, 2000.0]","(63.999, 4000.0]","(-0.001, 8.0]","(2.0, 6.0]","(8.0, 24.0]","(27.0, 49.5]","(14.999, 28.0]",-0.25052943787443854,-0.5341961273776662,-0.9101302761678229,-0.724137149844938,0.03544713323620476,0.011535963445200399,-0.5594579478137249,-0.630665681341358,32
burroughs,b4955,110,5000,5000,142,8,64,120,124,"(50.0, 110.0]","(4000.0, 32000.0]","(4000.0, 8000.0]","(32.0, 256.0]","(6.0, 52.0]","(24.0, 176.0]","(111.5, 1150.0]","(99.5, 1238.0]",-0.3691730695195844,0.698213815918018,-0.6142380191728749,3.909286729179684,0.46347126706337805,2.5586766921454474,0.2421893456085615,0.38301659515739717,32
burroughs,b5900,143,1500,6300,0,5,32,30,35,"(110.0, 225.0]","(768.0, 2000.0]","(4000.0, 8000.0]","(-0.001, 8.0]","(2.0, 6.0]","(24.0, 176.0]","(27.0, 49.5]","(28.0, 45.0]",-0.25052943787443854,-0.38014488446570566,-0.4860180411417308,-0.724137149844938,0.03544713323620476,0.8605828730119495,-0.5684652207735259,-0.5014708813954382,32
burroughs,b6925,110,3100,6200,0,6,64,76,45,"(50.0, 110.0]","(2000.0, 4000.0]","(4000.0, 8000.0]","(-0.001, 8.0]","(2.0, 6.0]","(24.0, 176.0]","(49.5, 111.5]","(28.0, 45.0]",-0.3691730695195844,0.11281909285256803,-0.4958811163748958,-0.724137149844938,0.1781218445119292,2.5586766921454474,-0.15413066462268124,-0.402090266052423,32
c.r.d,68/10-80,320,128,6000,0,1,12,23,28,"(225.0, 1500.0]","(63.999, 768.0]","(4000.0, 8000.0]","(-0.001, 8.0]","(-0.001, 1.0]","(8.0, 24.0]","(5.999, 27.0]","(14.999, 28.0]",0.38583185913134393,-0.8028614950161254,-0.5156072668412256,-0.724137149844938,-0.535251711866693,-0.20072576394648686,-0.6315161314921327,-0.5710373121355489,32
c.r.d,universe:68,320,256,6000,0,1,6,33,28,"(225.0, 1500.0]","(63.999, 768.0]","(4000.0, 8000.0]","(-0.001, 8.0]","(-0.001, 1.0]","(5.0, 8.0]","(27.0, 49.5]","(14.999, 28.0]",0.38583185913134393,-0.7634243768306634,-0.5156072668412256,-0.724137149844938,-0.535251711866693,-0.5191183550340177,-0.541443401894123,-0.5710373121355489,32
c.r.d,universe:68/137,320,512,5000,4,1,5,77,28,"(225.0, 1500.0]","(63.999, 768.0]","(4000.0, 8000.0]","(-0.001, 8.0]","(-0.001, 1.0]","(-0.001, 5.0]","(49.5, 111.5]","(14.999, 28.0]",0.38583185913134393,-0.6845501404597397,-0.6142380191728749,-0.5936181673372022,-0.535251711866693,-0.5721837868819396,-0.14512339166288027,-0.5710373121355489,32
cdc,cyber:170/750,25,1310,2620,131,12,24,274,102,"(16.999, 50.0]","(768.0, 2000.0]","(63.999, 4000.0]","(32.0, 256.0]","(6.0, 52.0]","(8.0, 24.0]","(111.5, 1150.0]","(99.5, 1238.0]",-0.6747703025449602,-0.43868435677225065,-0.8489792097222003,3.5503595272834105,1.0341701121662756,0.4360594182285749,1.6293093814179112,0.16437924140276372,32
cdc,cyber:170/760,25,1310,2620,131,12,24,368,102,"(16.999, 50.0]","(768.0, 2000.0]","(63.999, 4000.0]","(32.0, 256.0]","(6.0, 52.0]","(8.0, 24.0]","(111.5, 1150.0]","(99.5, 1238.0]",-0.6747703025449602,-0.43868435677225065,-0.8489792097222003,3.5503595272834105,1.0341701121662756,0.4360594182285749,2.4759930396392025,0.16437924140276372,32
cdc,cyber:170/815,50,2620,10480,30,12,24,32,74,"(16.999, 50.0]","(2000.0, 4000.0]","(8000.0, 16000.0]","(8.0, 32.0]","(6.0, 52.0]","(8.0, 24.0]","(27.0, 49.5]","(45.0, 99.5]",-0.5848887634198496,-0.03507010034291408,-0.07374149639543665,0.2547552189630807,1.0341701121662756,0.4360594182285749,-0.550450674853924,-0.11388648155767889,32
cdc,cyber:170/825,50,2620,10480,30,12,24,63,74,"(16.999, 50.0]","(2000.0, 4000.0]","(8000.0, 16000.0]","(8.0, 32.0]","(6.0, 52.0]","(8.0, 24.0]","(49.5, 111.5]","(45.0, 99.5]",-0.5848887634198496,-0.03507010034291408,-0.07374149639543665,0.2547552189630807,1.0341701121662756,0.4360594182285749,-0.27122521310009384,-0.11388648155767889,32
cdc,cyber:170/835,56,5240,20970,30,12,24,106,138,"(50.0, 110.0]","(4000.0, 32000.0]","(16000.0, 64000.0]","(8.0, 32.0]","(6.0, 52.0]","(8.0, 24.0]","(49.5, 111.5]","(99.5, 1238.0]",-0.5633171940298232,0.7721584125157591,0.9608950955635648,0.2547552189630807,1.0341701121662756,0.4360594182285749,0.1160875241713479,0.5221494566376185,32
cdc,cyber:170/845,64,5240,20970,30,12,24,208,136,"(50.0, 110.0]","(4000.0, 32000.0]","(16000.0, 64000.0]","(8.0, 32.0]","(6.0, 52.0]","(8.0, 24.0]","(111.5, 1150.0]","(99.5, 1238.0]",-0.5345551015097878,0.7721584125157591,0.9608950955635648,0.2547552189630807,1.0341701121662756,0.4360594182285749,1.034829366071047,0.5022733335690154,32
cdc,omega:480-i,50,500,2000,8,1,4,20,23,"(16.999, 50.0]","(63.999, 768.0]","(63.999, 4000.0]","(-0.001, 8.0]","(-0.001, 1.0]","(-0.001, 5.0]","(5.999, 27.0]","(14.999, 28.0]",-0.5848887634198496,-0.6882473702896267,-0.9101302761678229,-0.4630991848294664,-0.535251711866693,-0.6252492187298614,-0.6585379503715356,-0.6207276198070565,32
cdc,omega:480-ii,50,1000,4000,8,1,5,29,29,"(16.999, 50.0]","(768.0, 2000.0]","(63.999, 4000.0]","(-0.001, 8.0]","(-0.001, 1.0]","(-0.001, 5.0]","(27.0, 49.5]","(28.0, 45.0]",-0.5848887634198496,-0.5341961273776662,-0.7128687715045243,-0.4630991848294664,-0.535251711866693,-0.5721837868819396,-0.5774724937333269,-0.5610992506012473,32
cambex,1636-1,50,1000,4000,8,3,5,26,30,"(16.999, 50.0]","(768.0, 2000.0]","(63.999, 4000.0]","(-0.001, 8.0]","(2.0, 6.0]","(-0.001, 5.0]","(5.999, 27.0]","(28.0, 45.0]",-0.5848887634198496,-0.5341961273776662,-0.7128687715045243,-0.4630991848294664,-0.24990228931524408,-0.5721837868819396,-0.6044943126127298,-0.5511611890669458,32
cambex,1641-11,50,2000,16000,8,3,6,52,74,"(16.999, 50.0]","(768.0, 2000.0]","(8000.0, 16000.0]","(-0.001, 8.0]","(2.0, 6.0]","(5.0, 8.0]","(49.5, 111.5]","(45.0, 99.5]",-0.5848887634198496,-0.22609364155374514,0.47070025647526764,-0.4630991848294664,-0.24990228931524408,-0.5191183550340177,-0.37030521565790453,-0.11388648155767889,32
cambex,1651-1,50,2000,16000,8,3,6,60,74,"(16.999, 50.0]","(768.0, 2000.0]","(8000.0, 16000.0]","(-0.001, 8.0]","(2.0, 6.0]","(5.0, 8.0]","(49.5, 111.5]","(45.0, 99.5]",-0.5848887634198496,-0.22609364155374514,0.47070025647526764,-0.4630991848294664,-0.24990228931524408,-0.5191183550340177,-0.29824703197949676,-0.11388648155767889,32
dec,decsys:10:1091,133,1000,12000,9,3,12,72,54,"(110.0, 225.0]","(768.0, 2000.0]","(8000.0, 16000.0]","(8.0, 32.0]","(2.0, 6.0]","(8.0, 24.0]","(49.5, 111.5]","(45.0, 99.5]",-0.28648205352448275,-0.5341961273776662,0.07617724714867033,-0.43046943920253244,-0.24990228931524408,-0.20072576394648686,-0.19015975646188513,-0.3126477122437093,32
dec,decsys:20:2060,133,1000,8000,9,3,12,72,41,"(110.0, 225.0]","(768.0, 2000.0]","(4000.0, 8000.0]","(8.0, 32.0]","(2.0, 6.0]","(8.0, 24.0]","(49.5, 111.5]","(28.0, 45.0]",-0.28648205352448275,-0.5341961273776662,-0.318345762177927,-0.43046943920253244,-0.24990228931524408,-0.20072576394648686,-0.19015975646188513,-0.44184251218962906,32
dec,microvax-1,810,512,512,8,1,1,18,18,"(225.0, 1500.0]","(63.999, 768.0]","(63.999, 4000.0]","(-0.001, 8.0]","(-0.001, 1.0]","(-0.001, 5.0]","(5.999, 27.0]","(14.999, 28.0]",2.14751002598351,-0.6845501404597397,-1.056892835637317,-0.4630991848294664,-0.535251711866693,-0.7844455142736269,-0.6765524962911376,-0.6704179274785641,32
dec,vax:11/730,810,1000,5000,0,1,1,20,28,"(225.0, 1500.0]","(768.0, 2000.0]","(4000.0, 8000.0]","(-0.001, 8.0]","(-0.001, 1.0]","(-0.001, 5.0]","(5.999, 27.0]","(14.999, 28.0]",2.14751002598351,-0.5341961273776662,-0.6142380191728749,-0.724137149844938,-0.535251711866693,-0.7844455142736269,-0.6585379503715356,-0.5710373121355489,32
dec,vax:11/750,320,512,8000,4,1,5,40,36,"(225.0, 1500.0]","(63.999, 768.0]","(4000.0, 8000.0]","(-0.001, 8.0]","(-0.001, 1.0]","(-0.001, 5.0]","(27.0, 49.5]","(28.0, 45.0]",0.38583185913134393,-0.6845501404597397,-0.318345762177927,-0.5936181673372022,-0.535251711866693,-0.5721837868819396,-0.4783924911755162,-0.49153281986113667,32
dec,vax:11/780,200,512,8000,8,1,8,62,38,"(110.0, 225.0]","(63.999, 768.0]","(4000.0, 8000.0]","(-0.001, 8.0]","(-0.001, 1.0]","(5.0, 8.0]","(49.5, 111.5]","(28.0, 45.0]",-0.045599528669186554,-0.6845501404597397,-0.318345762177927,-0.4630991848294664,-0.535251711866693,-0.4129874913381741,-0.2802324860598948,-0.47165669679253364,32
dg,eclipse:c/350,700,384,8000,0,1,1,24,34,"(225.0, 1500.0]","(63.999, 768.0]","(4000.0, 8000.0]","(-0.001, 8.0]","(-0.001, 1.0]","(-0.001, 5.0]","(5.999, 27.0]","(28.0, 45.0]",1.7520312538330236,-0.7239872586452015,-0.318345762177927,-0.724137149844938,-0.535251711866693,-0.7844455142736269,-0.6225088585323317,-0.5114089429297397,32
dg,eclipse:mv/10000,140,1000,16000,16,1,3,138,72,"(110.0, 225.0]","(768.0, 2000.0]","(8000.0, 16000.0]","(8.0, 32.0]","(-0.001, 1.0]","(-0.001, 5.0]","(111.5, 1150.0]","(45.0, 99.5]",-0.2613152225694518,-0.5341961273776662,0.47070025647526764,-0.20206121981399472,-0.535251711866693,-0.6783146505777832,0.40432025888497897,-0.13376260462628192,32
dg,eclipse:mv/6000,110,1000,4000,16,1,2,26,30,"(50.0, 110.0]","(768.0, 2000.0]","(63.999, 4000.0]","(8.0, 32.0]","(-0.001, 1.0]","(-0.001, 5.0]","(5.999, 27.0]","(28.0, 45.0]",-0.3691730695195844,-0.5341961273776662,-0.7128687715045243,-0.20206121981399472,-0.535251711866693,-0.731380082425705,-0.6044943126127298,-0.5511611890669458,32
dg,eclipse:mv/8000,110,1000,12000,16,1,2,60,56,"(50.0, 110.0]","(768.0, 2000.0]","(8000.0, 16000.0]","(8.0, 32.0]","(-0.001, 1.0]","(-0.001, 5.0]","(49.5, 111.5]","(45.0, 99.5]",-0.3691730695195844,-0.5341961273776662,0.07617724714867033,-0.20206121981399472,-0.535251711866693,-0.731380082425705,-0.29824703197949676,-0.29277158917510626,32
dg,eclipse:mv/8000-ii,220,1000,8000,16,1,2,71,42,"(110.0, 225.0]","(768.0, 2000.0]","(4000.0, 8000.0]","(8.0, 32.0]","(-0.001, 1.0]","(-0.001, 5.0]","(49.5, 111.5]","(28.0, 45.0]",0.02630570263090186,-0.5341961273776662,-0.318345762177927,-0.20206121981399472,-0.535251711866693,-0.731380082425705,-0.1991670294216861,-0.43190445065532757,32
formation,f4000/200,800,256,8000,0,1,4,14,34,"(225.0, 1500.0]","(63.999, 768.0]","(4000.0, 8000.0]","(-0.001, 8.0]","(-0.001, 1.0]","(-0.001, 5.0]","(5.999, 27.0]","(28.0, 45.0]",2.111557410333466,-0.7634243768306634,-0.318345762177927,-0.724137149844938,-0.535251711866693,-0.6252492187298614,-0.7125815881303414,-0.5114089429297397,32
formation,f4000/200ap,800,256,8000,0,1,4,20,34,"(225.0, 1500.0]","(63.999, 768.0]","(4000.0, 8000.0]","(-0.001, 8.0]","(-0.001, 1.0]","(-0.001, 5.0]","(5.999, 27.0]","(28.0, 45.0]",2.111557410333466,-0.7634243768306634,-0.318345762177927,-0.724137149844938,-0.535251711866693,-0.6252492187298614,-0.6585379503715356,-0.5114089429297397,32
formation,f4000/300,800,256,8000,0,1,4,16,34,"(225.0, 1500.0]","(63.999, 768.0]","(4000.0, 8000.0]","(-0.001, 8.0]","(-0.001, 1.0]","(-0.001, 5.0]","(5.999, 27.0]","(28.0, 45.0]",2.111557410333466,-0.7634243768306634,-0.318345762177927,-0.724137149844938,-0.535251711866693,-0.6252492187298614,-0.6945670422107395,-0.5114089429297397,32
formation,f4000/300ap,800,256,8000,0,1,4,22,34,"(225.0, 1500.0]","(63.999, 768.0]","(4000.0, 8000.0]","(-0.001, 8.0]","(-0.001, 1.0]","(-0.001, 5.0]","(5.999, 27.0]","(28.0, 45.0]",2.111557410333466,-0.7634243768306634,-0.318345762177927,-0.724137149844938,-0.535251711866693,-0.6252492187298614,-0.6405234044519337,-0.5114089429297397,32
four-phase,2000/260,125,512,1000,0,8,20,36,19,"(110.0, 225.0]","(63.999, 768.0]","(63.999, 4000.0]","(-0.001, 8.0]","(6.0, 52.0]","(8.0, 24.0]","(27.0, 49.5]","(14.999, 28.0]",-0.3152441460445181,-0.6845501404597397,-1.0087610284994724,-0.724137149844938,0.46347126706337805,0.22379769083688766,-0.5144215830147201,-0.6604798659442626,32
gould,concept:32/8705,75,2000,8000,64,1,38,144,75,"(50.0, 110.0]","(768.0, 2000.0]","(4000.0, 8000.0]","(32.0, 256.0]","(-0.001, 1.0]","(24.0, 176.0]","(111.5, 1150.0]","(45.0, 99.5]",-0.49500722429473915,-0.22609364155374514,-0.318345762177927,1.3641665702788355,-0.535251711866693,1.1789754640994803,0.4583638966437848,-0.10394842002337737,32
gould,concept:32/8750,75,2000,16000,64,1,38,144,113,"(50.0, 110.0]","(768.0, 2000.0]","(8000.0, 16000.0]","(32.0, 256.0]","(-0.001, 1.0]","(24.0, 176.0]","(111.5, 1150.0]","(99.5, 1238.0]",-0.49500722429473915,-0.22609364155374514,0.47070025647526764,1.3641665702788355,-0.535251711866693,1.1789754640994803,0.4583638966437848,0.27369791828008044,32
hp,3000/40,105,256,2000,0,3,10,26,20,"(50.0, 110.0]","(63.999, 768.0]","(63.999, 4000.0]","(-0.001, 8.0]","(2.0, 6.0]","(8.0, 24.0]","(5.999, 27.0]","(14.999, 28.0]",-0.3871493773446065,-0.7634243768306634,-0.9101302761678229,-0.724137149844938,-0.24990228931524408,-0.30685662764233046,-0.6044943126127298,-0.650541804409961,32
